ticker,date,gap_up_percent,open_price,close_price,anchored_vwap,retraced_to_vwap_5d,days_to_retrace_5d,retrace_percentage_5d,mfe_dollars_5d,mae_dollars_5d,mfe_percent_5d,mae_percent_5d,retraced_to_vwap_10d,days_to_retrace_10d,retrace_percentage_10d,mfe_dollars_10d,mae_dollars_10d,mfe_percent_10d,mae_percent_10d,sma_330_distance_percent,spy_daily_gain_percent
UNF,2013-01-03,16.71,88.35,81.87,81.36,True,2,114.07,1.18,1.49,1.44,1.82,True,2,118.07,1.18,1.77,1.44,2.16,3.92,-0.23
LTBR,2013-01-03,12.75,100.8,96.6,95.27,True,1,325.56,24.0,13.8,24.84,14.29,True,1,325.56,24.0,13.8,24.84,14.29,3.87,-0.23
ATEC,2013-01-03,5.81,21.84,20.4,20.89,True,1,176.25,1.2,0.24,5.88,1.18,True,1,226.61,1.2,0.72,5.88,3.53,-0.58,-0.23
GPS,2013-01-03,5.51,33.1,32.09,31.87,True,2,193.26,0.49,1.36,1.53,4.24,True,2,193.26,0.79,1.36,2.46,4.24,1.13,-0.23
LTBR,2013-01-04,5.59,102.0,105.0,97.98,False,,0.0,14.4,-4.2,13.71,-4.0,False,,74.55,14.4,6.0,13.71,5.71,8.25,0.44
USNA,2013-01-07,6.1,37.89,37.2,36.44,True,2,249.5,2.53,2.93,6.8,7.88,True,2,249.5,2.53,2.93,6.8,7.88,5.73,-0.27
BLRX,2013-01-07,5.99,42.45,40.95,41.29,True,1,155.38,3.9,0.3,9.52,0.73,True,1,155.38,16.05,0.3,39.19,0.73,2.54,-0.27
IHS,2013-01-08,12.18,108.7,102.09,101.1,True,1,101.61,1.44,1.11,1.41,1.09,True,1,137.14,1.44,3.81,1.41,3.73,3.36,-0.29
TDV,2013-01-08,5.28,22.14,21.58,21.62,True,1,174.19,0.65,0.34,3.01,1.58,True,1,174.19,1.7,0.34,7.88,1.58,1.3,-0.29
BANFP,2013-01-09,12.06,29.46,29.46,27.88,True,1,199.37,5.29,3.16,17.96,10.73,True,1,199.37,5.29,3.16,17.96,10.73,5.7,0.25
GPN,2013-01-09,8.9,25.09,24.43,24.0,False,,71.78,0.57,0.12,2.33,0.51,False,,71.78,0.93,0.12,3.83,0.51,4.48,0.25
WDFC,2013-01-09,8.31,51.74,52.51,50.4,True,4,130.09,0.33,2.51,0.63,4.78,True,4,130.09,1.51,2.51,2.88,4.78,7.71,0.25
ABIO,2013-01-09,7.5,325.08,302.4,310.05,True,1,352.09,15.12,30.24,5.0,10.0,True,1,352.09,15.12,30.24,5.0,10.0,-1.64,0.25
NURO,2013-01-09,6.0,101.76,96.0,94.57,True,1,186.95,1.92,7.68,2.0,8.0,True,1,213.66,7.68,9.6,8.0,10.0,3.81,0.25
AUBN,2013-01-09,5.19,22.09,21.05,21.29,True,1,161.74,0.85,0.25,4.04,1.19,True,1,161.74,0.85,0.25,4.04,1.19,-1.08,0.25
SNCR,2013-01-10,7.62,23.31,23.02,22.44,True,2,102.79,0.92,0.6,4.0,2.61,True,2,102.79,1.25,0.6,5.43,2.61,5.55,0.79
INFY,2013-01-11,15.65,25.41,26.11,24.16,False,,19.46,0.16,0.94,0.63,3.6,False,,19.46,0.57,0.94,2.2,3.6,18.12,-0.01
IEP,2013-01-11,6.73,54.75,53.44,53.72,True,1,143.97,7.49,0.18,14.02,0.34,True,1,143.97,10.46,0.18,19.57,0.34,3.74,-0.01
CRK,2013-01-11,5.09,76.4,74.2,72.9,True,1,135.71,0.6,2.55,0.81,3.44,True,1,194.28,1.15,4.6,1.55,6.2,-0.76,-0.01
AVNW,2013-01-14,13.86,45.36,42.72,43.3,True,1,180.9,2.52,1.08,5.9,2.53,True,1,180.9,2.64,1.08,6.18,2.53,5.08,-0.07
VRA,2013-01-16,8.04,24.85,22.83,22.95,True,1,114.52,1.72,0.16,7.53,0.7,True,1,114.52,3.46,0.16,15.16,0.7,-3.43,-0.01
PERI,2013-01-16,5.41,38.55,36.99,37.34,True,1,677.6,1.56,6.63,4.22,17.92,True,1,677.6,1.56,6.63,4.22,17.92,11.36,-0.01
TAL,2013-01-17,7.2,41.26,40.2,38.99,False,,57.66,1.32,0.25,3.28,0.62,False,,57.66,2.21,0.25,5.5,0.62,6.3,0.65
LIFE,2013-01-18,11.41,857.36,851.06,828.09,False,,65.53,40.74,12.88,4.79,1.51,False,,65.53,70.7,12.88,8.31,1.51,13.46,0.22
ATOS,2013-01-18,10.34,826.2,793.8,805.81,True,1,300.1,104.4,28.8,13.15,3.63,True,1,300.1,201.6,28.8,25.4,3.63,5.17,0.22
DBEF,2013-01-18,9.22,25.35,23.14,22.93,True,1,106.96,2.41,0.38,10.41,1.64,True,1,106.96,2.41,0.38,10.41,1.64,0.85,0.22
MS,2013-01-18,5.93,21.98,22.38,21.26,False,,0.0,0.65,0.35,2.9,1.56,False,,0.0,1.36,0.35,6.08,1.56,10.56,0.22
